Country,Population2000,Population2012,Continent
Afghanistan,20595360,29824536,Asia
Albania,3304948,3162083,Europe
Algeria,31719449,38481705,Africa
American Samoa,57522,55128,America
Andorra,65399,78360,Europe
Angola,13924930,20820525,Africa
Antigua and Barbuda,77648,89069,America
Argentina,36903067,41086927,America
Armenia,3076098,2969081,Asia
Aruba,90858,102384,America
Australia,19153000,22683600,Oceania
Austria,8011566,8462446,Europe
Azerbaijan,8048600,9297507,Asia
"Bahamas, The",297759,371960,America
Bahrain,668239,1317827,Asia
Bangladesh,132383265,154695368,Asia
Barbados,267190,283221,America
Belarus,10005000,9464000,Europe
Belgium,10251250,11142157,Europe
Belize,238586,324060,America
Benin,6949366,10050702,Africa
Bermuda,61833,64806,America
Bhutan,564350,741822,Asia
Bolivia,8495271,10496285,America
Bosnia and Herzegovina,3834364,3833916,Europe
Botswana,1755375,2003910,Africa
Brazil,174504898,198656019,America
Brunei Darussalam,331801,412238,Asia
Bulgaria,8170172,7304632,Europe
Burkina Faso,11607944,16460141,Africa
Burundi,6674286,9849569,Africa
Cambodia,12222871,14864646,Asia
Cameroon,15927713,21699631,Africa
Canada,30769700,34880491,America
Cape Verde,442426,494401,Africa
Cayman Islands,41685,57570,America
Central African Republic,3638316,4525209,Africa
Chad,8301151,12448175,Africa
Channel Islands,148725,161235,Europe
Chile,15454402,17464814,America
China,1262645000,1350695000,Asia
Colombia,39897984,47704427,America
Comoros,528312,717503,Africa
"Congo, Dem. Rep.",46949244,65705093,Africa
"Congo, Rep.",3126204,4337051,Africa
Costa Rica,3929588,4805295,America
Cote d'Ivoire,16131332,19839750,Africa
Croatia,4426000,4267000,Europe
Cuba,11138416,11270957,America
Curacao,133860,151892,America
Cyprus,943287,1128994,Asia
Czech Republic,10272322,10514810,Europe
Denmark,5339616,5590478,Europe
Djibouti,722887,859652,Africa
Dominica,69679,71684,America
Dominican Republic,8663421,10276621,America
Ecuador,12533087,15492264,America
"Egypt, Arab Rep.",66136590,80721874,Africa
El Salvador,5958794,6297394,America
Equatorial Guinea,518179,736296,Africa
Eritrea,3939348,6130922,Africa
Estonia,1369515,1339396,Europe
Ethiopia,66024199,91728849,Africa
Faeroe Islands,46491,49506,Europe
Fiji,811647,874742,Oceania
Finland,5176209,5414293,Europe
France,60911057,65696689,Europe
French Polynesia,237267,273814,Oceania
Gabon,1225527,1632572,Africa
"Gambia, The",1228863,1791225,Africa
Georgia,4418300,4511800,Asia
Germany,82211508,81889839,Europe
Ghana,18825034,25366462,Africa
Greece,10917482,11280167,Europe
Greenland,56200,56840,America
Grenada,101620,105483,America
Guam,155328,162810,Africa
Guatemala,11204183,15082831,America
Guinea,8746128,11451273,Africa
Guinea-Bissau,1273312,1663558,Africa
Guyana,744471,795369,America
Haiti,8578234,10173775,America
Honduras,6235561,7935846,America
"Hong Kong SAR, China",6665000,7154600,Asia
Hungary,10210971,9943755,Europe
Iceland,281205,320137,Europe
India,1042261758,1236686732,Asia
Indonesia,208938698,246864191,Asia
"Iran, Islamic Rep.",65911052,76424443,Asia
Iraq,23801156,32578209,Asia
Ireland,3805174,4588798,Europe
Israel,6289000,7907900,Asia
Italy,56942108,60917978,Europe
Jamaica,2589388.551,2712100,America
Japan,126870000,127561489,Asia
Jordan,4797000,6318000,Asia
Kazakhstan,14883626,16797459,Asia
Kenya,31285050,43178141,Africa
Kiribati,82788,100786,Oceania
"Korea, Dem. Rep.",22840225,24763188,Asia
"Korea, Rep.",47008000,50004000,Asia
Kosovo,1700000,1806366,Europe
Kuwait,1906231,3250496,Asia
Kyrgyz Republic,4898400,5582100,Asia
Lao PDR,5388281,6645827,Asia
Latvia,2372985,2025473,Europe
Lebanon,3235380,4424888,Asia
Lesotho,1856225,2051545,Africa
Liberia,2891968,4190435,Africa
Libya,5176185,6154623,Africa
Liechtenstein,33093,36656,Europe
Lithuania,3499536,2985509,Europe
Luxembourg,436300,531441,Europe
"Macao SAR, China",431907,556783,Asia
"Macedonia, FYR",2052129,2105575,Europe
Madagascar,15744811,22293914,Africa
Malawi,11321496,15906483,Africa
Malaysia,23420751,29239927,Asia
Maldives,272745,338442,Asia
Mali,10260577,14853572,Africa
Malta,381363,418366,Europe
Marshall Islands,52161,52555,Oceania
Mauritania,2708095,3796141,Africa
Mauritius,1186873,1291456,Africa
Mexico,103873607,120847477,America
"Micronesia, Fed. Sts.",107430,103395,Oceania
Moldova,3639588,3559541,Europe
Monaco,32081,37579,Europe
Mongolia,2397473,2796484,Asia
Montenegro,611196,621081,Europe
Morocco,28710123,32521143,Africa
Mozambique,18275618,25203395,Africa
Myanmar,48453000,52797319,Asia
Namibia,1897953,2259393,Africa
Nepal,23184177,27474377,Asia
Netherlands,15925513,16767705,Europe
New Caledonia,213230,258121,Oceania
New Zealand,3857700,4433100,Oceania
Nicaragua,5100920,5991733,America
Niger,10989815,17157042,Africa
Nigeria,122876727,168833776,Africa
Northern Mariana Islands,68434,53305,Oceania
Norway,4490967,5018869,Europe
Oman,2192535,3314001,Asia
Pakistan,143832014,179160111,Asia
Palau,19174,20754,Oceania
Panama,3054812,3802281,America
Papua New Guinea,5379226,7167010,Oceania
Paraguay,5350253,6687361,America
Peru,26000080,29987800,America
Philippines,77651848,96706764,Asia
Poland,38453757,38542737,Europe
Portugal,10225836,10526703,Europe
Puerto Rico,3810605,3667084,America
Qatar,593693,2050514,Asia
Romania,22442971,21326905,Europe
Russian Federation,146303000,143533000,Asia
Rwanda,8395577,11457801,Africa
Samoa,174614,188889,Oceania
San Marino,26969,31247,Europe
Sao Tome and Principe,139428,188098,Africa
Saudi Arabia,20144584,28287855,Asia
Senegal,9861679,13726021,Africa
Serbia,7516346,7223887,Europe
Seychelles,81131,87784.90752,Africa
Sierra Leone,4139757,5978727,Africa
Singapore,4027900,5312400,Asia
Slovak Republic,5388720,5410267,Europe
Slovenia,1988925,2058152,Europe
Solomon Islands,412336,549598,Oceania
Somalia,7385416,10195134,Africa
South Africa,44000000,51189306.61,Africa
South Sudan,6652984,10837527,Africa
Spain,40263216,46217961,Europe
Sri Lanka,19102000,20328000,Asia
St. Kitts and Nevis,45544,53584,America
St. Lucia,156949,180870,America
St. Vincent and the Grenadines,107897,109373,America
Sudan,27729798,37195349,Africa
Suriname,466668,534541,America
Swaziland,1063715,1230985,Africa
Sweden,8872109,9516617,Europe
Switzerland,7184250,7997152,Europe
Syrian Arab Republic,16371208,22399254,Asia
Tajikistan,6186152,8008990,Asia
Tanzania,34020512,47783107,Africa
Thailand,62343379,66785001,Asia
Timor-Leste,853585,1210233,Asia
Togo,4864753,6642928,Africa
Tonga,97962,104941,Oceania
Trinidad and Tobago,1267980,1337439,America
Tunisia,9563500,10777500,Africa
Turkey,63174483,73997128,Asia
Turkmenistan,4501419,5172931,Asia
Turks and Caicos Islands,18876,32427,America
Tuvalu,9419,9860,Oceania
Uganda,24275641,36345860,Africa
Ukraine,49175847.64,45593300,Europe
United Arab Emirates,3026352,9205651,Asia
United Kingdom,58892514,63227526,Europe
United States,282162411,313914040,America
Uruguay,3320841,3395253,America
Uzbekistan,24650400,29776850,Asia
Vanuatu,185058,247262,Oceania
"Venezuela, RB",24407553,29954782,America
Vietnam,77630900,88775500,Asia
Virgin Islands (U.S.),108639,105275,America
West Bank and Gaza,2922153,4046901,Asia
"Yemen, Rep.",17522537,23852409,Asia
Zambia,10100981,14075099,Africa
Zimbabwe,12503652,13724317,Africa
