Time,Event,,,Time Olympic Males,,Time Victoria Males
8404,V,,,7681,,8404
8829,V,,,7707,,8829
8942,V,,,7777,,8942
8969,V,,,7866,,8969
9033,V,,,7870,,9033
9245,V,,,7876,,9245
9320,V,,,7928,,9320
9420,V,,,7937,,9420
9699,V,,,7948,,9699
9758,V,,,7965,,9758
9874,V,,,7968,,9874
9943,V,,,7976,,9943
10038,V,,,8015,,10038
10112,V,,,8029,,10112
10116,V,,,8049,,10116
10132,V,,,8050,,10132
10251,V,,,8089,,10251
10312,V,,,8109,,10312
10374,V,,,8124,,10374
10382,V,,,8126,,10382
10416,V,,,8135,,10416
10427,V,,,8160,,10427
10480,V,,,8164,,10480
10520,V,,,8177,,10520
10549,V,,,8185,,10549
10557,V,,,8188,,10557
10572,V,,,8189,,10572
10635,V,,,8189,,10635
10647,V,,,8196,,10647
10657,V,,,8220,,10657
10667,V,,,8231,,10667
10704,V,,,8239,,10704
10705,V,,,8259,,10705
10762,V,,,8268,,10762
10784,V,,,8274,,10784
10795,V,,,8278,,10795
10821,V,,,8300,,10821
10833,V,,,8303,,10833
10864,V,,,8306,,10864
10878,V,,,8314,,10878
10887,V,,,8324,,10887
10890,V,,,8327,,10890
10919,V,,,8340,,10919
10921,V,,,8351,,10921
10933,V,,,8351,,10933
10999,V,,,8368,,10999
11015,V,,,8372,,11015
11016,V,,,8380,,11016
11018,V,,,8392,,11018
11027,V,,,8393,,11027
11055,V,,,8410,,11055
11091,V,,,8420,,11091
11093,V,,,8420,,11093
11095,V,,,8439,,11095
11112,V,,,8441,,11112
11176,V,,,8460,,11176
11198,V,,,8473,,11198
11221,V,,,8485,,11221
11276,V,,,8512,,11276
11282,V,,,8528,,11282
11288,V,,,8557,,11288
11299,V,,,8560,,11299
11311,V,,,8579,,11311
11321,V,,,8603,,11321
11340,V,,,8656,,11340
11351,V,,,8693,,11351
11378,V,,,8703,,11378
11391,V,,,8717,,11391
11397,V,,,8785,,11397
11401,V,,,8797,,11401
11417,V,,,8803,,11417
11426,V,,,8868,,11426
11442,V,,,8900,,11442
11456,V,,,8914,,11456
11472,V,,,8934,,11472
11478,V,,,8978,,11478
11479,V,,,8998,,11479
11517,V,,,9006,,11517
11539,V,,,9019,,11539
11557,V,,,9197,,11557
11559,V,,,9299,,11559
11561,V,,,9525,,11561
11576,V,,,9613,,11576
11580,V,,,9909,,11580
11608,V,,,10554,,11608
11621,V,,,,,11621
11622,V,,,,,11622
11649,V,,,,,11649
11663,V,,,,,11663
11673,V,,,,,11673
11679,V,,,,,11679
11708,V,,,,,11708
11711,V,,,,,11711
11722,V,,,,,11722
11725,V,,,,,11725
11729,V,,,,,11729
11729,V,,,,,11729
11787,V,,,,,11787
11790,V,,,,,11790
11822,V,,,,,11822
11830,V,,,,,11830
11844,V,,,,,11844
11888,V,,,,,11888
11896,V,,,,,11896
11924,V,,,,,11924
11934,V,,,,,11934
11937,V,,,,,11937
11944,V,,,,,11944
11959,V,,,,,11959
11967,V,,,,,11967
11969,V,,,,,11969
11987,V,,,,,11987
12001,V,,,,,12001
12035,V,,,,,12035
12036,V,,,,,12036
12049,V,,,,,12049
12053,V,,,,,12053
12053,V,,,,,12053
12068,V,,,,,12068
12071,V,,,,,12071
12073,V,,,,,12073
12086,V,,,,,12086
12088,V,,,,,12088
12095,V,,,,,12095
12110,V,,,,,12110
12124,V,,,,,12124
12127,V,,,,,12127
12132,V,,,,,12132
12148,V,,,,,12148
12168,V,,,,,12168
12171,V,,,,,12171
12180,V,,,,,12180
12197,V,,,,,12197
12223,V,,,,,12223
12224,V,,,,,12224
12224,V,,,,,12224
12239,V,,,,,12239
12245,V,,,,,12245
12265,V,,,,,12265
12268,V,,,,,12268
12275,V,,,,,12275
12276,V,,,,,12276
12284,V,,,,,12284
12294,V,,,,,12294
12294,V,,,,,12294
12298,V,,,,,12298
12301,V,,,,,12301
12303,V,,,,,12303
12324,V,,,,,12324
12337,V,,,,,12337
12339,V,,,,,12339
12340,V,,,,,12340
12346,V,,,,,12346
12355,V,,,,,12355
12379,V,,,,,12379
12390,V,,,,,12390
12391,V,,,,,12391
12400,V,,,,,12400
12407,V,,,,,12407
12408,V,,,,,12408
12440,V,,,,,12440
12451,V,,,,,12451
12452,V,,,,,12452
12466,V,,,,,12466
12473,V,,,,,12473
12474,V,,,,,12474
12476,V,,,,,12476
12493,V,,,,,12493
12501,V,,,,,12501
12501,V,,,,,12501
12505,V,,,,,12505
12506,V,,,,,12506
12527,V,,,,,12527
12541,V,,,,,12541
12541,V,,,,,12541
12546,V,,,,,12546
12547,V,,,,,12547
12550,V,,,,,12550
12555,V,,,,,12555
12599,V,,,,,12599
12652,V,,,,,12652
12677,V,,,,,12677
12684,V,,,,,12684
12690,V,,,,,12690
12695,V,,,,,12695
12716,V,,,,,12716
12724,V,,,,,12724
12737,V,,,,,12737
