Website,Daily views per visitor (Jan2015),Total sites linking in (thousands)
Google.com,17.8,3521.839
Facebook.com,12.23,6804.192
YouTube.com,7.56,3479.803
Yahoo.com,7.72,1197.458
Baidu.com,8.46,171.811
Amazon.com,11.58,1004.602
Wikipedia.org,3.47,1949.617
taobao.com,9.5,83.681
twitter.com,4.89,5395.465
Qq.com,4.53,259.564
Google.co.in,13.25,30.868
Live.com,4.12,78.218
Sina.com.cn,4.66,82.059
Weibo.com,5,122.43
Tmall.com,5.77,25.344
Linkedin.com,5.81,1943.779
Yahoo.co.jp,18.68,111.879
Blogspot.com,3.22,23.977
Ebay.com,13.4,190.197
Hao123.com,2.95,14.263
