Sitting.Up,Lying.Down,Gender
13.5,13.25,woman
13.5,13,woman
12.75,11.5,woman
12.5,12.5,man
9.25,10,man
12.5,13,woman
14,11,woman
5,2.75,man
12.75,11.5,woman
13.75,13.5,woman
8.75,8.75,man
12.75,13.75,man
9,10.75,man
10,3.75,woman
7.5,9,man
12.25,9.75,woman
10,12.5,man
4.5,6,man
13.5,13.5,woman
12.75,11.75,woman
12.75,10.5,man
13,9.5,woman
13.5,14.25,man
12.5,11.5,woman
9,12.25,woman
3.75,8,woman
15.5,14.5,man
14.75,12,woman
15.5,12.5,man
7.5,6.25,man
16.75,8.75,man
13,10.75,man
8.25,5,man
7.75,6.75,woman
15.75,14.75,woman
13,12.75,man
