Sleep,Age
525,15 to 24
1200,15 to 24
510,15 to 24
660,15 to 24
480,15 to 24
480,15 to 24
630,15 to 24
510,15 to 24
540,15 to 24
420,15 to 24
480,15 to 24
435,15 to 24
540,15 to 24
480,15 to 24
600,15 to 24
420,15 to 24
285,15 to 24
540,15 to 24
420,15 to 24
389,15 to 24
510,15 to 24
570,15 to 24
780,15 to 24
480,15 to 24
510,15 to 24
450,15 to 24
300,15 to 24
420,15 to 24
540,15 to 24
525,15 to 24
780,25 to 34
300,25 to 34
360,25 to 34
420,25 to 34
600,25 to 34
570,25 to 34
540,25 to 34
390,25 to 34
420,25 to 34
270,25 to 34
480,25 to 34
600,25 to 34
390,25 to 34
600,25 to 34
1215,25 to 34
540,25 to 34
440,25 to 34
255,25 to 34
465,25 to 34
525,25 to 34
450,25 to 34
435,25 to 34
510,25 to 34
510,25 to 34
480,25 to 34
540,25 to 34
540,25 to 34
480,25 to 34
690,25 to 34
420,25 to 34
360,35 to 44
510,35 to 44
450,35 to 44
540,35 to 44
415,35 to 44
360,35 to 44
1195,35 to 44
285,35 to 44
240,35 to 44
270,35 to 44
510,35 to 44
435,35 to 44
330,35 to 44
600,35 to 44
405,35 to 44
465,35 to 44
480,35 to 44
450,35 to 44
465,35 to 44
370,35 to 44
495,35 to 44
420,35 to 44
600,35 to 44
480,35 to 44
360,35 to 44
480,35 to 44
420,35 to 44
510,35 to 44
540,35 to 44
445,35 to 44
450,45 to 54
480,45 to 54
360,45 to 54
480,45 to 54
390,45 to 54
480,45 to 54
495,45 to 54
510,45 to 54
360,45 to 54
420,45 to 54
465,45 to 54
420,45 to 54
420,45 to 54
480,45 to 54
510,45 to 54
390,45 to 54
300,45 to 54
390,45 to 54
450,45 to 54
240,45 to 54
465,45 to 54
570,45 to 54
510,45 to 54
555,45 to 54
390,45 to 54
600,45 to 54
1230,45 to 54
360,45 to 54
390,45 to 54
344,45 to 54
