ID,duration,nBids,cond,startPr,shipPr,totalPr,shipSp,sellerRate,stockPhoto,wheels,notes
1.50E+11,3,20,new,0.99,4,51.55,standard,1580,yes,1,
2.60E+11,7,13,used,0.99,3.99,37.04,firstClass,365,yes,1,
3.20E+11,3,16,new,0.99,3.5,45.5,firstClass,998,no,1,
2.80E+11,3,18,new,0.99,0,44,standard,7,yes,1,
1.70E+11,1,20,new,0.01,0,71,media,820,yes,2,
3.60E+11,3,19,new,0.99,4,45,standard,270144,yes,0,
1.20E+11,1,13,used,0.01,0,37.02,standard,7284,yes,0,
3.00E+11,1,15,new,1,2.99,53.99,upsGround,4858,yes,2,
2.00E+11,3,29,used,0.99,4,47,priority,27,yes,1,
3.30E+11,7,8,used,19.99,4,50,firstClass,201,no,1,
2.90E+11,1,15,new,1,2.99,54.99,upsGround,4858,yes,2,
1.80E+11,1,15,new,0.01,0,56.01,media,820,yes,2,
3.00E+11,1,13,new,1,2.99,48,upsGround,4858,yes,2,
1.80E+11,1,16,new,0.01,0,56,media,820,yes,2,
2.51E+11,7,6,used,24.99,4,43.33,standard,154,yes,1,
1.20E+11,7,22,used,0.99,4,46,media,309,yes,0,
1.40E+11,3,14,new,0.99,8.7,46.71,priority,251,yes,1,
2.80E+11,3,23,new,0.99,0,46,standard,7,yes,1,
2.90E+11,1,10,new,1,2.99,55.99,upsGround,4858,yes,2,
2.60E+11,1,7,used,0.99,0,31,standard,4982,yes,0,
2.90E+11,1,16,new,1,2.99,53.98,upsGround,4858,yes,2,
3.50E+11,1,1,new,64.95,0,64.95,standard,118345,yes,2,
1.10E+11,1,18,new,1,2.99,50.5,upsGround,4858,yes,2,
1.10E+11,3,12,used,0.01,4,46.5,firstClass,172,yes,1,
1.80E+11,1,19,new,0.01,0,55,media,820,yes,2,
1.40E+11,3,5,used,15,3.5,34.5,firstClass,37,yes,0,
3.00E+11,3,5,used,0.99,0,36,upsGround,15,yes,0,
1.40E+11,1,13,used,0.99,4,40,standard,4200,no,0,
3.20E+11,7,15,new,9.99,4,47,parcel,62,yes,1,
1.70E+11,1,11,used,10,4,43,priority,18,yes,0,
3.20E+11,7,14,used,1.99,0,31,media,166,yes,0,
3.90E+11,5,13,used,0.99,4,41.99,standard,16041,yes,1,
1.70E+11,5,24,used,0.99,3.99,49.49,upsGround,27,yes,2,
1.90E+11,3,10,used,0.99,0,41,priority,42241,yes,1,
1.50E+11,3,15,used,0.99,8.7,44.78,priority,88,yes,1,
1.10E+11,3,16,used,0.99,4,47,firstClass,1270,no,0,
1.40E+11,7,17,used,15,4,44,priority,2131,no,1,
2.90E+11,1,9,new,1,2.99,63.99,upsGround,4858,yes,2,
2.90E+11,1,14,new,1,2.99,53.76,upsGround,4858,yes,2,
2.60E+11,7,5,new,30,0,46.03,firstClass,555,no,1,
3.60E+11,3,13,used,0.99,0,42.25,priority,4.22E+04,no,1,
3.20E+11,1,14,used,0.99,4,46,priority,34,no,2,
1.10E+11,1,29,new,1,2.99,51.99,upsGround,4858,yes,2,
1.10E+11,1,17,new,1,2.99,55.99,upsGround,4858,yes,2,
1.80E+11,3,8,used,9.99,3.99,41.99,firstClass,69,yes,1,
2.90E+11,1,12,new,1,2.99,53.99,upsGround,4858,yes,2,
1.90E+11,7,20,used,15,0,39,firstClass,422,yes,0,
3.80E+11,7,21,used,0.99,3,38.06,firstClass,8625,yes,0,
1.60E+11,7,16,used,0.99,0,46,priority,90,no,1,
1.10E+11,1,10,new,1,2.99,59.88,upsGround,4858,yes,2,
2.60E+11,1,17,used,0.99,0,28.98,standard,4982,yes,0,
1.80E+11,3,16,used,0.99,0,36,standard,2046,no,1,
3.30E+11,3,2,new,51.99,0,51.99,other,223861,yes,0,
3.00E+11,7,16,used,0.99,2.95,43.95,firstClass,943,yes,0,
2.51E+11,1,14,used,0.99,0,32,standard,206,yes,0,
2.30E+11,7,10,used,0.99,4,40.06,firstClass,4473,no,1,
2.90E+11,5,7,used,25,2.99,48,priority,239,no,1,
2.30E+11,7,16,used,0.99,4,36,parcel,355,no,0,
1.80E+11,10,3,used,30,0,31,priority,19,no,0,
2.90E+11,1,23,new,1,2.99,53.99,upsGround,4858,yes,2,
1.20E+11,1,12,used,0.01,0,30,standard,7284,yes,0,
3.00E+11,1,9,new,1,2.99,58,upsGround,4858,yes,2,
1.30E+11,5,18,used,9.99,3.59,38.1,firstClass,861,no,0,
1.10E+11,7,12,used,30,0,61.76,standard,27,yes,2,
1.10E+11,1,13,new,1,2.99,53.99,upsGround,4.86E+03,yes,2,
1.60E+11,7,14,used,0.99,3,40,media,88,yes,1,
3.60E+11,7,12,used,0.99,4,64.5,standard,991,no,3,
1.20E+11,7,16,used,5,4,49.01,upsGround,285,no,2,
1.10E+11,3,9,new,25,4,47,ups3Day,627,yes,1,
1.60E+11,3,17,used,0.99,0,40.1,standard,2046,no,1,
3.20E+11,7,16,new,0.99,3.5,41.5,firstClass,998,no,1,
1.80E+11,1,20,new,0.01,0,56,media,820,yes,2,
4.00E+11,1,1,new,64.95,0,64.95,standard,118345,yes,2,
1.10E+11,1,13,used,0.99,8.02,49,parcel,350,no,2,
1.40E+11,3,4,used,34.99,4,48,standard,85,yes,1,
1.70E+11,5,21,used,0.99,4,38,firstClass,14504,no,0,
2.70E+11,3,14,used,0.99,4,45,standard,270144,yes,0,
2.00E+11,5,18,used,19.99,2.95,41.95,parcel,194,yes,0,
3.20E+11,10,15,used,9.99,6,43.36,parcel,2399,yes,1,
1.10E+11,1,8,new,1,2.99,54.99,upsGround,4858,yes,2,
2.80E+11,3,19,used,12,4,45.21,standard,64,yes,1,
1.60E+11,7,2,used,55,9.02,65.02,parcel,25,no,4,
1.10E+11,7,14,used,10,3.75,45.75,upsGround,0,yes,1,
1.60E+11,3,14,new,0.99,4,64,standard,127,yes,2,
2.70E+11,7,7,used,0.99,3,36,priority,0,yes,0,
2.80E+11,7,7,new,29.95,8.7,54.7,priority,208,yes,1,
1.20E+11,5,5,new,35,4,49.91,parcel,127,yes,1,
2.20E+11,3,16,used,0.99,4,47,parcel,231,yes,0,
2.51E+11,7,13,used,10,0,43,standard,21,no,1,
1.40E+11,5,10,used,9.99,1.99,35.99,upsGround,19,yes,0,
1.80E+11,1,11,used,9.99,3.99,54.49,firstClass,69,yes,2,
2.30E+11,7,15,used,12,0,46,priority,15,yes,1,
1.10E+11,1,16,used,0.01,0,31.06,standard,7284,yes,0,
2.60E+11,3,15,used,0.99,0,55.6,upsGround,54,yes,2,
1.10E+11,3,23,new,0.99,4,40.1,standard,270144,yes,0,
1.10E+11,1,20,new,1,2.99,52.59,upsGround,4858,yes,2,
1.80E+11,7,9,used,10,4,44,other,103,no,2,
2.51E+11,5,14,used,10,9.26,38.26,upsGround,35,no,1,
1.10E+11,5,11,used,19.99,4,51,priority,36,no,2,
2.90E+11,1,13,new,1,2.99,48.99,upsGround,4858,yes,2,
4.00E+11,1,1,new,54.99,11.45,66.44,upsGround,118345,yes,2,
1.70E+11,1,22,new,0.01,0,63.5,media,820,yes,2,
3.50E+11,5,7,used,0.99,4,42,firstClass,14503,no,0,
2.30E+11,7,18,new,18,4,47,standard,389,yes,1,
2.30E+11,5,17,used,0.99,4,55,standard,261,no,2,
2.90E+11,7,9,used,0.01,3,33.01,media,381,yes,1,
3.00E+11,1,16,new,1,2.99,53.76,upsGround,4858,yes,2,
3.20E+11,5,20,new,0.01,0,46,media,8224,yes,1,
3.60E+11,3,16,used,0.99,4,43,standard,270143,yes,0,
1.70E+11,3,5,used,35,0,42.55,priority,10,yes,1,
1.90E+11,7,5,used,1,0,52.5,standard,116,yes,2,
1.10E+11,1,25,new,1,2.99,57.5,upsGround,4858,yes,2,
3.50E+11,1,3,new,69.95,0,75,standard,118345,yes,3,
1.50E+11,7,7,used,25,11.42,48.92,parcel,11,yes,1,
1.60E+11,7,18,new,9.99,4,45.99,firstClass,1154,yes,1,
3.50E+11,7,10,used,0.99,4,40.05,standard,877,yes,1,
1.70E+11,1,13,new,0.01,0,45,other,556,yes,1,
1.40E+11,3,8,used,20,4,50,parcel,63,yes,2,
2.51E+11,7,16,new,9.99,9.69,49.75,priority,94,yes,0,
3.70E+11,7,3,used,38,4,47,parcel,508,no,1,
