Height (cm),Weight (kg)
161.2,51.609
167.5,59.011
159.5,49.209
157,63.011
155.8,53.61
170,59.011
159.1,47.609
166,69.813
176.2,66.812
160.2,75.214
172.5,55.21
170.9,54.21
172.9,62.511
153.4,42.008
160,50.009
147.2,49.809
168.2,49.209
175,73.213
157,47.809
167.6,68.812
159.5,50.609
175,82.515
166.8,57.21
176.5,87.816
170.2,72.813
174,54.51
173,59.811
179.9,67.312
170.5,67.812
160,47.009
154.4,46.208
162,55.01
176.5,83.015
160,54.41
152,45.808
162.1,53.61
170,73.213
160.2,52.109
161.3,67.912
166.4,56.61
168.9,62.311
163.8,58.511
167.6,54.51
160,50.209
161.3,60.311
167.6,58.311
165.1,56.21
160,50.209
170,72.913
157.5,59.811
167.6,61.011
160.7,69.113
163.2,55.91
152.4,46.508
157.5,54.31
168.3,54.81
180.3,60.711
165.5,60.011
165,62.011
164.5,60.311
156,52.71
160,74.313
163,62.011
165.7,73.113
161,80.015
162,54.71
166,53.21
174,75.714
172.7,61.111
167.6,55.71
151.1,48.709
164.5,52.309
163.5,50.009
152,59.311
169,62.511
164,55.71
161.2,54.81
155,45.908
170,70.613
176.2,67.212
170,69.413
162.5,58.211
170.3,64.812
164.1,71.613
169.5,52.81
163.2,59.811
154.5,49.009
159.8,50.009
173.2,69.213
170,55.91
161.4,63.412
169,58.211
166.2,58.611
159.4,45.708
162.5,52.209
159,48.609
162.8,57.81
159,55.61
179.8,66.812
162.9,59.411
161,53.61
151.1,73.213
168.2,53.41
168.9,69.013
173.2,58.411
171.8,56.21
178,70.613
164.3,59.811
163,72.013
168.5,65.212
166.8,56.61
172.7,105.219
163.5,51.809
169.4,63.412
167.8,59.011
159.5,47.609
167.6,63.011
161.2,55.21
160,45.008
163.2,54.01
162.2,50.209
161.3,60.211
149.5,44.808
157.5,58.811
163.2,56.41
172.7,62.011
155,49.209
156.5,67.212
164,53.81
160.9,54.41
162.8,58.011
167,59.811
160,54.81
160,43.208
168.9,60.511
158.2,46.408
156,64.412
160,48.809
167.1,62.211
158,55.51
167.6,57.81
156,54.61
162.1,59.211
173.4,52.71
159.8,53.21
170.5,64.512
159.2,51.809
157.5,56.01
161.3,63.612
162.6,63.211
160,59.511
168.9,56.81
165.1,64.112
162.6,50.009
165.1,72.313
166.4,55.01
160,55.91
152.4,60.411
170.2,69.113
162.6,84.515
170.2,55.91
158.8,55.51
172.7,69.513
167.6,76.414
162.6,61.411
167.6,65.912
156.2,58.611
175.2,66.812
172.1,56.61
162.6,58.611
160,55.91
165.1,59.111
182.9,81.815
166.4,70.713
165.1,56.81
177.8,60.011
165.1,58.211
175.3,72.713
154.9,54.11
158.8,49.109
172.7,75.914
168.9,55.01
161.3,57.31
167.6,55.01
165.1,65.512
175.3,65.512
157.5,48.609
163.8,58.611
167.6,63.612
165.1,55.21
165.1,62.711
168.9,56.61
162.6,53.91
164.5,63.211
176.5,73.613
168.9,62.011
175.3,63.612
159.4,53.21
160,53.41
170.2,55.01
162.6,70.513
167.6,54.51
162.6,54.51
160.7,55.91
160,59.011
157.5,63.612
162.6,54.51
152.4,47.309
170.2,67.712
165.1,80.915
172.7,70.513
165.1,60.911
170.2,63.612
170.2,54.51
170.2,59.111
161.3,70.513
167.6,52.71
167.6,62.711
165.1,86.316
162.6,66.412
152.4,67.312
168.9,63.011
170.2,73.613
175.2,62.311
175.2,57.71
160,55.41
165.1,104.119
174,55.51
170.2,77.314
160,80.515
167.6,64.512
167.6,72.313
167.6,61.411
154.9,58.211
162.6,81.815
175.3,63.612
171.4,53.41
157.5,54.51
165.1,53.61
160,60.011
174,73.613
162.6,61.411
174,55.51
162.6,63.612
161.3,60.911
156.2,60.011
149.9,46.808
169.5,57.31
160,64.112
175.3,63.612
169.5,67.312
160,75.514
172.7,68.212
162.6,61.411
157.5,76.814
176.5,71.813
164.4,55.51
160.7,48.609
174,66.412
163.8,67.312
174,65.612
175.3,71.813
193.5,80.715
186.5,72.613
187.2,78.814
181.5,74.814
184,86.416
184.5,78.414
175,62.011
184,81.615
180,76.614
177.8,83.615
192,90.016
176,74.614
174,71.013
184,79.614
192.7,93.817
171.5,70.013
173,72.413
176,85.916
176,78.814
180.5,77.814
172.7,66.212
176,86.416
173.5,81.815
178,89.616
180.3,82.815
180.3,76.414
164.5,63.211
173,60.911
183.5,74.814
175.5,70.013
188,72.413
189.2,84.115
172.8,69.113
170,59.511
182,67.212
170,61.311
177.8,68.612
184.2,80.115
186.7,87.816
171.4,84.715
172.7,73.413
175.3,72.113
180.3,82.615
182.9,88.716
188,84.115
177.2,94.117
172.1,74.914
167,59.111
169.5,75.614
174,86.216
172.7,75.314
182.2,87.116
164.1,55.21
163,57.01
171.5,61.411
184.2,76.814
174,86.816
174,72.213
177,71.613
186,84.815
167,68.212
171.8,66.112
182,72.013
167,64.612
177.8,74.814
164.5,70.013
192,101.618
175.5,63.211
171.2,79.114
181.6,78.914
167.4,67.712
181.1,66.012
177,68.212
174.5,63.912
177.5,72.013
170.5,56.81
182.4,74.514
197.1,90.916
180.1,93.017
175.5,80.915
180.6,72.713
184.4,68.012
175.5,70.913
180.6,72.513
177,72.513
177.1,83.415
181.6,75.514
176.5,73.013
175,70.213
174,73.413
165.1,70.513
177,68.913
192,102.319
176.5,68.412
169.4,65.912
182.1,75.714
179.8,84.515
175.3,87.716
184.9,86.416
177.3,73.213
167.4,53.91
178.1,72.013
168.9,55.51
157.2,58.411
180.3,83.215
170.2,72.713
177.8,64.112
172.7,72.313
165.1,65.012
186.7,86.416
165.1,65.012
174,88.616
175.3,84.115
185.4,66.812
177.8,75.514
180.3,93.217
180.3,82.715
177.8,58.011
177.8,79.514
177.8,78.614
177.8,71.813
177.8,116.421
163.8,72.213
188,83.615
198.1,85.516
175.3,90.916
166.4,85.916
190.5,89.116
166.4,75.014
177.8,77.714
179.7,86.416
172.7,90.916
190.5,73.613
185.4,76.414
168.9,69.113
167.6,84.515
175.3,64.512
170.2,69.113
190.5,108.62
177.8,86.416
190.5,80.915
177.8,87.716
184.2,94.517
176.5,80.215
177.8,72.013
180.3,71.413
171.4,72.713
172.7,84.115
172.7,76.814
177.8,63.612
177.8,80.915
182.9,80.915
170.2,85.516
167.6,68.612
175.3,67.712
165.1,66.412
185.4,102.319
181.6,70.513
172.7,95.917
190.5,84.115
179.1,87.316
175.3,71.813
170.2,65.912
193,95.917
171.4,91.417
177.8,81.815
177.8,96.818
167.6,69.113
167.6,82.715
180.3,75.514
182.9,79.514
176.5,73.613
186.7,91.817
188,84.115
188,85.916
177.8,81.815
174,82.515
177.8,80.515
171.4,70.013
185.4,81.815
185.4,84.115
188,90.516
188,91.417
182.9,89.116
176.5,85.015
175.3,69.113
175.3,73.613
188,80.515
188,82.715
175.3,86.416
170.5,67.712
179.1,92.717
177.8,93.617
175.3,70.913
182.9,75.014
170.8,93.217
188,93.217
180.3,77.714
177.8,61.411
185.4,94.117
168.9,75.014
185.4,83.615
180.3,85.516
174,73.913
167.6,66.812
182.9,87.316
160,72.313
180.3,88.616
167.6,75.514
186.7,101.418
175.3,91.117
175.3,67.312
175.9,77.714
175.3,81.815
179.1,75.514
181.6,84.515
177.8,76.614
182.9,85.015
177.8,102.519
184.2,77.314
179.1,71.813
176.5,87.916
188,94.317
174,70.913
167.6,64.512
170.2,77.314
167.6,72.313
188,87.316
174,80.015
176.5,82.315
180.3,73.613
167.6,74.113
188,85.916
180.3,73.213
167.6,76.314
183,65.912
183,90.916
179.1,89.116
170.2,62.311
177.8,82.715
179.1,79.114
190.5,98.218
177.8,84.115
180.3,83.215
180.3,83.215
