Animal,Gestation,AvLong,Max Long
Baboon,187,12,45
"Bear, Griz",225,25,50
Beaver,105,5,50
Bison,285,15,40
Camel,406,12,50
"Cat, domestic",63,12,28
Chimp,230,20,60
Cow,284,15,30
Deer,201,8,20
"Dog, domestic",61,12,20
"Elephant, African",660,35,70
"Elephant,Asian",645,40,77
Elk,250,16,27
"Fox, red",52,7,14
Giraffe,457,10,36
Goat,151,8,18
Gorilla,258,20,54
Hippo,238,41,61
Horse,330,20,50
Leopard,98,12,23
Lion,100,15,30
"Monkey, rhesus",166,15,37
Moose,240,12,27
"Pig, domestic",112,10,27
Puma,90,12,20
"Rhino,black",450,15,46
"Sea Lion, Cal",350,12,34
Sheep,154,12,20
"Squirrel, gray",44,10,24
Tiger,105,16,26
"Wolf, maned",63,5,16
"Zebra, Grant's",365,15,50
