Cycle           daylength	LengthOfDay
23.89	14.33
23.72	14.50
23.74	16.37
24.35	14.70
25.05	18.18
23.69	15.90
22.33	17.37
23.79	18.87
25.39	14.90
23.08	13.92
25.64	15.13
23.98	15.13
25.84	15.13
25.46	15.13
24.37	14.90
24.13	14.90
24.40	14.90
24.74	14.90
24.44	14.70
24.82	13.08
23.56	13.08
24.96	16.55
24.21	16.55
23.85	16.05
24.57	16.05
23.44	15.23
23.64	14.33
24.23	14.33
24.01	18.50
24.58	14.60
25.57	18.87
23.73	16.37
24.11	14.43
23.21	17.15
25.08	15.90
24.03	16.55
24.62	16.93
23.51	14.43
23.21	16.93
23.41	14.77
23.69	17.63
22.97	16.93
24.65	16.55
24.65	14.50
24.29	16.23
23.89	16.23
25.08	16.23
23.89	16.23
23.09	14.50
23.21	14.50
24.66	16.55
23.88	17.37
25.33	15.23
24.38	16.55
24.68	17.37
25.34	14.50
25.22	14.50
23.45	14.50
23.39	16.93
25.43	18.18
23.16	16.93
23.95	16.93
23.25	14.77
24.72	16.55
24.89	15.02
24.88	15.13
24.71	16.37
23.58	16.05
25.98	17.63
24.28	15.77
24.25	16.55
23.16	15.23
24.19	17.15
27.22	17.15
23.77	15.62
26.21	17.63
24.33	14.25
24.34	16.05
24.89	16.37
24.32	14.70
24.14	16.55
24.00	16.55
23.48	16.37
25.81	19.28
24.99	18.87
24.18	14.08
22.73	14.08
24.18	14.08
23.95	15.90
24.48	15.23
23.89	16.55
24.24	16.37
24.96	15.62
24.58	16.37
24.29	15.23
24.31	17.90
23.64	14.70
23.87	15.37
23.68	15.37
24.87	15.37
23.00	16.23
23.48	15.90
24.26	14.17
23.34	14.17
25.11	14.17
24.69	14.17
24.97	15.23
24.64	14.17
24.49	14.43
23.61	16.93
24.07	16.93
26.60	18.18
24.91	17.63
24.76	17.63
25.09	17.37
26.56	17.90
25.13	17.90
24.81	17.63
25.63	18.18
25.63	18.50
24.69	24.00
24.41	14.43
23.79	15.02
22.88	15.23
22.00	15.23
23.33	15.23
25.12	15.23
24.00	15.23
24.31	15.23
23.03	14.50
24.51	14.50
28.55	17.63
22.96	16.05
23.61	16.37
24.72	17.37
24.04	16.23
25.18	16.93
24.30	16.93
24.22	16.93
24.39	16.93
24.73	15.23
24.68	14.60
24.14	14.60
24.57	14.33
24.42	14.70
25.62	15.90
