MILES	MPG	MPH	LOGMPH
12457	14.8	18.6	2.9232
12658	15.1	19.5	2.9704
13439	17.5	24.2	3.1864
13518	14.3	17.9	2.8848
13799	15.9	21.2	3.0540
14097	17.9	32.0	3.4657
15099	13.5	17.0	2.8332
15902	12.2	12.1	2.4932
16298	13.7	16.6	2.8094
20745	16.5	24.4	3.1946
20921	16.2	23.5	3.1570
22015	14.6	17.9	2.8848
22203	15.0	19.0	2.9444
22740	22.6	52.7	3.9646
23109	21.4	35.1	3.5582
25362	22.3	48.8	3.8877
25578	13.8	16.6	2.8094
28279	17.1	19.7	2.9806
30539	18.0	25.1	3.2229
31133	17.7	23.5	3.1570
32483	16.5	25.4	3.2347
36457	13.8	15.8	2.7600
37013	17.8	25.3	3.2308
37485	14.7	16.9	2.8273
38130	20.0	45.0	3.8067
38635	15.6	18.3	2.9069
39756	21.5	37.5	3.6243
40249	15.6	19.8	2.9857
40790	18.0	24.3	3.1905
41143	20.9	34.5	3.5410
41702	17.6	23.6	3.1612
43249	23.7	48.9	3.8898
43931	14.6	17.4	2.8565
44208	16.7	22.7	3.1224
45602	23.4	40.0	3.6889
45837	24.6	51.2	3.9357
47985	20.2	32.0	3.4657
48717	16.2	18.2	2.9014
49627	20.7	35.8	3.5779
50691	15.2	20.1	3.0007
50897	19.4	31.6	3.4532
51744	22.6	43.3	3.7682
53008	17.6	21.8	3.0819
53546	20.9	39.5	3.6763
54150	21.3	38.6	3.6533
54431	19.1	24.9	3.2149
56583	19.4	29.1	3.3707
56739	21.8	40.7	3.7062
56936	14.2	15.4	2.7344
57649	19.7	30.7	3.4243
59054	15.0	16.3	2.7912
59638	19.3	29.0	3.3673
59873	17.9	27.5	3.3142
60736	15.9	20.1	3.0007
61009	19.5	28.2	3.3393
64063	15.0	19.0	2.9444
66254	18.6	45.8	3.8243
66912	14.6	19.9	2.9907
67108	13.6	19.0	2.9444
68829	20.7	43.7	3.7773
