Gender	Year	Record	GroupNum
M	1912	1880.8	1
M	1921	1840.2	1
M	1924	1835.4	1
M	1924	1823.2	1
M	1924	1806.2	1
M	1937	1805.6	1
M	1938	1802.0	1
M	1939	1792.6	1
M	1944	1775.4	1
M	1949	1768.2	1
M	1949	1767.2	1
M	1949	1761.2	1
M	1950	1742.6	1
M	1953	1741.6	1
M	1954	1734.2	1
M	1956	1722.8	1
M	1956	1710.4	1
M	1960	1698.8	1
M	1962	1698.2	1
M	1963	1695.6	1
M	1965	1659.3	1
M	1972	1658.4	1
M	1973	1650.8	1
M	1977	1650.5	1
M	1978	1642.4	1
M	1984	1633.8	1
M	1989	1628.2	1
M	1993	1627.9	1
M	1993	1618.4	1
M	1994	1612.2	1
M	1995	1603.5	1
M	1996	1598.1	1
M	1997	1591.3	1
M	1997	1587.8	1
M	1998	1582.7	1
M	2004	1580.3	1
M	2005	1577.3	1
F	1967	2286.4	2
F	1970	2130.5	2
F	1975	2100.4	2
F	1975	2041.4	2
F	1977	1995.1	2
F	1979	1972.5	2
F	1981	1950.8	2
F	1981	1937.2	2
F	1982	1895.3	2
F	1983	1895.0	2
F	1983	1887.6	2
F	1984	1873.8	2
F	1985	1859.4	2
F	1986	1813.7	2
F	1993	1771.8	2
